id,words,syllables,neumes,1-mer,2-mer,3-mer,4-mer,5-mer,6-mer,7-mer,8-mer,9-mer,10-mer,11-mer,12-mer,13-mer,14-mer,15-mer,16-mer,poisson-3,poisson-5,poisson-7
chant_001621,c cdfe dfedc fghg fgff fgefe dd cdff fffecd,c cd fe d fe dc fg h g fg f f fg e fe d d c d f f f f f e c d,c cd fe d fe dc fg h g fg f f fg e fe d d c d f f f f f e c d,c c d f e d f e d c f g h g f g f f f g e f e d d c d f f f f f e c d,cc df ed fe dc fg hg fg ff fg ef ed dc df ff ff ec d,ccd fed fed cfg hgf gff fge fed dcd fff ffe cd,ccdf edfe dcfg hgfg fffg efed dcdf ffff ecd,ccdfe dfedc fghgf gfffg efedd cdfff ffecd,ccdfed fedcfg hgfgff fgefed dcdfff ffecd,ccdfedf edcfghg fgfffge feddcdf ffffecd,ccdfedfe dcfghgfg fffgefed dcdfffff ecd,ccdfedfed cfghgfgff fgefeddcd fffffecd,ccdfedfedc fghgfgfffg efeddcdfff ffecd,ccdfedfedcf ghgfgfffgef eddcdfffffe cd,ccdfedfedcfg hgfgfffgefed dcdfffffecd,ccdfedfedcfgh gfgfffgefeddc dfffffecd,ccdfedfedcfghg fgfffgefeddcdf ffffecd,ccdfedfedcfghgf gfffgefeddcdfff ffecd,ccdfedfedcfghgfg fffgefeddcdfffff ecd,ccd fed fe dc fgh gfg fff gef ed dcd fffffec d,ccdfed fed cfgh gfgff fge fed dcdfff ffecd,ccdfe dfedc fghgfgfff gefeddcd fffffec d
chant_002755,f ffed fffed dcd dcd cdefe dd,f f fe d f f fe d d c d d c d c d efe d d,f f fe d f f fe d d c d d c d c d efe d d,f f f e d f f f e d d c d d c d c d e f e d d,ff fe df ff ed dc dd cd cd ef ed d,fff edf ffe ddc ddc dcd efe dd,fffe dfff eddc ddcd cdef edd,fffed fffed dcddc dcdef edd,fffedf ffeddc ddcdcd efedd,fffedff feddcdd cdcdefe dd,fffedfff eddcddcd cdefedd,fffedfffe ddcddcdcd efedd,fffedfffed dcddcdcdef edd,fffedfffedd cddcdcdefed d,fffedfffeddc ddcdcdefedd,fffedfffeddcd dcdcdefedd,fffedfffeddcdd cdcdefedd,fffedfffeddcddc dcdefedd,fffedfffeddcddcd cdefedd,fff ed ff fe ddcd dc dc d efe dd,ff fed fffed dc ddcdcd efe dd,fffed fffedd cddcdcde fedd
chant_004449,ggkJk lkj hj klkhgg h gfhjkjhg hkgg g gkj k llml kJkll nn ml mlm nlkjkhg k klk hGhk gg hgf hkjhjkj hGhkhgg,g gkJ k l kj h j kl khg g h g f hjkjhg hk g g g gkj k l lml kJ kl l n n m l m lm nlk jkhg k k lk hG hk g g h g f hk jh jkj hG hkh g g,g gkJ k l kj h j kl khg g h g f hjkjhg hk g g g gkj k l lml kJ kl l n n m l m lm nlk jkhg k k lk hG hk g g h g f hk jh jkj hG hkh g g,g g k J k l k j h j k l k h g g h g f h j k j h g h k g g g g k j k l l m l k J k l l n n m l m l m n l k j k h g k k l k h G h k g g h g f h k j h j k j h G h k h g g,gg kJ kl kj hj kl kh gg hg fh jk jh gh kg gg gk jk ll ml kJ kl ln nm lm lm nl kj kh gk kl kh Gh kg gh gf hk jh jk jh Gh kh gg,ggk Jkl kjh jkl khg ghg fhj kjh ghk ggg gkj kll mlk Jkl lnn mlm lmn lkj khg kkl khG hkg ghg fhk jhj kjh Ghk hgg,ggkJ klkj hjkl khgg hgfh jkjh ghkg gggk jkll mlkJ klln nmlm lmnl kjkh gkkl khGh kggh gfhk jhjk jhGh khgg,ggkJk lkjhj klkhg ghgfh jkjhg hkggg gkjkl lmlkJ kllnn mlmlm nlkjk hgkkl khGhk gghgf hkjhj kjhGh khgg,ggkJkl kjhjkl khgghg fhjkjh ghkggg gkjkll mlkJkl lnnmlm lmnlkj khgkkl khGhkg ghgfhk jhjkjh Ghkhgg,ggkJklk jhjklkh gghgfhj kjhghkg gggkjkl lmlkJkl lnnmlml mnlkjkh gkklkhG hkgghgf hkjhjkj hGhkhgg,ggkJklkj hjklkhgg hgfhjkjh ghkggggk jkllmlkJ kllnnmlm lmnlkjkh gkklkhGh kgghgfhk jhjkjhGh khgg,ggkJklkjh jklkhgghg fhjkjhghk ggggkjkll mlkJkllnn mlmlmnlkj khgkklkhG hkgghgfhk jhjkjhGhk hgg,ggkJklkjhj klkhgghgfh jkjhghkggg gkjkllmlkJ kllnnmlmlm nlkjkhgkkl khGhkgghgf hkjhjkjhGh khgg,ggkJklkjhjk lkhgghgfhjk jhghkggggkj kllmlkJklln nmlmlmnlkjk hgkklkhGhkg ghgfhkjhjkj hGhkhgg,ggkJklkjhjkl khgghgfhjkjh ghkggggkjkll mlkJkllnnmlm lmnlkjkhgkkl khGhkgghgfhk jhjkjhGhkhgg,ggkJklkjhjklk hgghgfhjkjhgh kggggkjkllmlk Jkllnnmlmlmnl kjkhgkklkhGhk gghgfhkjhjkjh Ghkhgg,ggkJklkjhjklkh gghgfhjkjhghkg gggkjkllmlkJkl lnnmlmlmnlkjkh gkklkhGhkgghgf hkjhjkjhGhkhgg,ggkJklkjhjklkhg ghgfhjkjhghkggg gkjkllmlkJkllnn mlmlmnlkjkhgkkl khGhkgghgfhkjhj kjhGhkhgg,ggkJklkjhjklkhgg hgfhjkjhghkggggk jkllmlkJkllnnmlm lmnlkjkhgkklkhGh kgghgfhkjhjkjhGh khgg,ggk Jkl kjh jklkh g g hg f h jk jhghk ggggkjk llml kJ kllnnm lmlmn lk j khg kk lkh Gh kggh g f hkjh jkjh G hkhg g,ggkJ klkjhj kl khgghgfhjkjh ghkg gggkjk llmlk Jkllnnmlm lmnlkjk hgkk lkhGh kggh gfhk jhjk jhGhk hgg,ggkJkl kjhjklk hgghgfhjk jhghkgggg kjkllml kJkll nnmlmlmn lkjk hgkklkhG hkggh gfhkjhjkj hGhkhg g
chant_006774,dc fg fghhg fg hge fgfedefedc cdf ffGf f f ffef gfedd hhgfghgf,dc fg fgh hg f g h g e f g fe defe dc c d f f fG f f f f f ef g fe d d h h g f gh gf,dc fg fgh hg f g h g e f g fe d efe dc c d f f fG f f f f f ef g fe d d h h g f gh gf,d c f g f g h h g f g h g e f g f e d e f e d c c d f f f G f f f f f e f g f e d d h h g f g h g f,dc fg fg hh gf gh ge fg fe de fe dc cd ff fG ff ff fe fg fe dd hh gf gh gf,dcf gfg hhg fgh gef gfe def edc cdf ffG fff ffe fgf edd hhg fgh gf,dcfg fghh gfgh gefg fede fedc cdff fGff fffe fgfe ddhh gfgh gf,dcfgf ghhgf ghgef gfede fedcc dfffG fffff efgfe ddhhg fghgf,dcfgfg hhgfgh gefgfe defedc cdfffG fffffe fgfedd hhgfgh gf,dcfgfgh hgfghge fgfedef edccdff fGfffff efgfedd hhgfghg f,dcfgfghh gfghgefg fedefedc cdfffGff fffefgfe ddhhgfgh gf,dcfgfghhg fghgefgfe defedccdf ffGfffffe fgfeddhhg fghgf,dcfgfghhgf ghgefgfede fedccdfffG fffffefgfe ddhhgfghgf,dcfgfghhgfg hgefgfedefe dccdfffGfff ffefgfeddhh gfghgf,dcfgfghhgfgh gefgfedefedc cdfffGfffffe fgfeddhhgfgh gf,dcfgfghhgfghg efgfedefedccd fffGfffffefgf eddhhgfghgf,dcfgfghhgfghge fgfedefedccdff fGfffffefgfedd hhgfghgf,dcfgfghhgfghgef gfedefedccdfffG fffffefgfeddhhg fghgf,dcfgfghhgfghgefg fedefedccdfffGff fffefgfeddhhgfgh gf,dc fgf ghhgf ghge fgf ed efed cc df ffGf ffffefg f edd hhg fg hg f,dcfgf ghh gfghgef gfe defe dccdf ffGff f ffefgfe ddhhgfg hgf,dcfgfghh gfghgef gfedefe dccdfff Gfffff efgfed dhhgfghgf
chant_009555,cdfgfed ddfdc fghih hghh hhgfefgf dd cdf fdeddc c defghfe dd h hg hklkj hh h klklkj hh hggF ghhgg fg hgf gfedd d dgfghgg hgfgfedc defe dd fghh hhh hhgfggfe,cdfg fed d df dc fghi h h gh h hhg fe fgf d d c df fdedd c c d ef gh fe d d h h g h kl kj h h h k l k l kj h h hggF gh hgg f g h gf g fe d d d dgfgh g g hgfg fe dc d efe d d f gh h h h h h h g f g gfe,cd fg fed d df dc fg hi h h gh h hhg fe fgf d d c df fd edd c c d ef gh fe d d h h g h kl kj h h h k l k l kj h h hg gF gh hgg f g h gf g fe d d d dgf gh g g hgfg fe dc d efe d d f gh h h h h h h g f g gfe,c d f g f e d d d f d c f g h i h h g h h h h g f e f g f d d c d f f d e d d c c d e f g h f e d d h h g h k l k j h h h k l k l k j h h h g g F g h h g g f g h g f g f e d d d d g f g h g g h g f g f e d c d e f e d d f g h h h h h h h g f g g f e,cd fg fe dd df dc fg hi hh gh hh hg fe fg fd dc df fd ed dc cd ef gh fe dd hh gh kl kj hh hk lk lk jh hh gg Fg hh gg fg hg fg fe dd dd gf gh gg hg fg fe dc de fe dd fg hh hh hh hg fg gf e,cdf gfe ddd fdc fgh ihh ghh hhg fef gfd dcd ffd edd ccd efg hfe ddh hgh klk jhh hkl klk jhh hgg Fgh hgg fgh gfg fed ddd gfg hgg hgf gfe dcd efe ddf ghh hhh hhg fgg fe,cdfg fedd dfdc fghi hhgh hhhg fefg fddc dffd eddc cdef ghfe ddhh ghkl kjhh hklk lkjh hhgg Fghh ggfg hgfg fedd ddgf ghgg hgfg fedc defe ddfg hhhh hhhg fggf e,cdfgf edddf dcfgh ihhgh hhhgf efgfd dcdff deddc cdefg hfedd hhghk lkjhh hklkl kjhhh ggFgh hggfg hgfgf edddd gfghg ghgfg fedcd efedd fghhh hhhhg fggfe,cdfgfe dddfdc fghihh ghhhhg fefgfd dcdffd eddccd efghfe ddhhgh klkjhh hklklk jhhhgg Fghhgg fghgfg fedddd gfghgg hgfgfe dcdefe ddfghh hhhhhg fggfe,cdfgfed ddfdcfg hihhghh hhgfefg fddcdff deddccd efghfed dhhghkl kjhhhkl klkjhhh ggFghhg gfghgfg feddddg fghgghg fgfedcd efeddfg hhhhhhh gfggfe,cdfgfedd dfdcfghi hhghhhhg fefgfddc dffdeddc cdefghfe ddhhghkl kjhhhklk lkjhhhgg Fghhggfg hgfgfedd ddgfghgg hgfgfedc defeddfg hhhhhhhg fggfe,cdfgfeddd fdcfghihh ghhhhgfef gfddcdffd eddccdefg hfeddhhgh klkjhhhkl klkjhhhgg Fghhggfgh gfgfedddd gfghgghgf gfedcdefe ddfghhhhh hhgfggfe,cdfgfedddf dcfghihhgh hhhgfefgfd dcdffdeddc cdefghfedd hhghklkjhh hklklkjhhh ggFghhggfg hgfgfedddd gfghgghgfg fedcdefedd fghhhhhhhg fggfe,cdfgfedddfd cfghihhghhh hgfefgfddcd ffdeddccdef ghfeddhhghk lkjhhhklklk jhhhggFghhg gfghgfgfedd ddgfghgghgf gfedcdefedd fghhhhhhhgf ggfe,cdfgfedddfdc fghihhghhhhg fefgfddcdffd eddccdefghfe ddhhghklkjhh hklklkjhhhgg Fghhggfghgfg feddddgfghgg hgfgfedcdefe ddfghhhhhhhg fggfe,cdfgfedddfdcf ghihhghhhhgfe fgfddcdffdedd ccdefghfeddhh ghklkjhhhklkl kjhhhggFghhgg fghgfgfeddddg fghgghgfgfedc defeddfghhhhh hhgfggfe,cdfgfedddfdcfg hihhghhhhgfefg fddcdffdeddccd efghfeddhhghkl kjhhhklklkjhhh ggFghhggfghgfg feddddgfghgghg fgfedcdefeddfg hhhhhhhgfggfe,cdfgfedddfdcfgh ihhghhhhgfefgfd dcdffdeddccdefg hfeddhhghklkjhh hklklkjhhhggFgh hggfghgfgfedddd gfghgghgfgfedcd efeddfghhhhhhhg fggfe,cdfgfedddfdcfghi hhghhhhgfefgfddc dffdeddccdefghfe ddhhghklkjhhhklk lkjhhhggFghhggfg hgfgfeddddgfghgg hgfgfedcdefeddfg hhhhhhhgfggfe,c df gf eddd fd cfg hi hh g hh hhgfe f gfd d cdf fde dd ccd ef ghf eddhh ghkl kj hhhkl kl kjhh hgg F ghhg gfg hgfgf edddd gf gh g ghgfgf edcd efed df gh hh hh hhgf ggfe,cdfgfed d dfdcf ghih hghhh hgfef gfd dcdffdedd ccdef ghfeddh hghk lk j hhhk lklk jhhhggF ghhggfg hgfgfedd ddgf ghgghgf gfed cdefed dfg hhhhhh hgfgg fe,cdfgfe dddfdc fghih hghhhhgfefg fddcd ffdeddccd efghfeddhhg hklkjhhhklkl kjhhhggFgh hg gfghgf gfeddddgf ghgghg fgfed cdefe ddfghhhhh hhgfggf e
chant_010885,ljlm ll lj klkj gg kk k kkh kjh gh jhggg llmlkj kjkl ll l,l j l m l l l j kl kj g g k k k k k h k jh gh j h g g g l l m l k j kj kl l l l,l j l m l l l j kl kj g g k k k k k h k jh gh j h g g g l l m l k j kj kl l l l,l j l m l l l j k l k j g g k k k k k h k j h g h j h g g g l l m l k j k j k l l l l,lj lm ll lj kl kj gg kk kk kh kj hg hj hg gg ll ml kj kj kl ll l,ljl mll ljk lkj ggk kkk khk jhg hjh ggg llm lkj kjk lll l,ljlm lllj klkj ggkk kkkh kjhg hjhg ggll mlkj kjkl lll,ljlml lljkl kjggk kkkkh kjhgh jhggg llmlk jkjkl lll,ljlmll ljklkj ggkkkk khkjhg hjhggg llmlkj kjklll l,ljlmlll jklkjgg kkkkkhk jhghjhg ggllmlk jkjklll l,ljlmlllj klkjggkk kkkhkjhg hjhgggll mlkjkjkl lll,ljlmllljk lkjggkkkk khkjhghjh gggllmlkj kjkllll,ljlmllljkl kjggkkkkkh kjhghjhggg llmlkjkjkl lll,ljlmllljklk jggkkkkkhkj hghjhgggllm lkjkjkllll,ljlmllljklkj ggkkkkkhkjhg hjhgggllmlkj kjkllll,ljlmllljklkjg gkkkkkhkjhghj hgggllmlkjkjk llll,ljlmllljklkjgg kkkkkhkjhghjhg ggllmlkjkjklll l,ljlmllljklkjggk kkkkhkjhghjhggg llmlkjkjkllll,ljlmllljklkjggkk kkkhkjhghjhgggll mlkjkjkllll,ljlm lll jkl kjggkk kk khkjh g h jhg ggl lmlkj kjkl ll l,ljl mllljkl kjggkk kkkh kjhghj hgggllm lkjk jkllll,ljlmlll jklkjggkk kkkh kjhghjhg ggllmlk jkjk llll
chant_011882,ddcfg fghh h jhg g fghg g geg hgf hgf gfEcd d dgedfE dd hhgfghgf,d dc f g fgh h h jh g g f gh g g g e g hg f hg f g fE cd d d g ed fE d d h h g f gh gf,d dc f g fgh h h jh g g f gh g g g e g hg f hg f g fE cd d d g ed fE d d h h g f gh gf,d d c f g f g h h h j h g g f g h g g g e g h g f h g f g f E c d d d g e d f E d d h h g f g h g f,dd cf gf gh hh jh gg fg hg gg eg hg fh gf gf Ec dd dg ed fE dd hh gf gh gf,ddc fgf ghh hjh ggf ghg gge ghg fhg fgf Ecd ddg edf Edd hhg fgh gf,ddcf gfgh hhjh ggfg hggg eghg fhgf gfEc dddg edfE ddhh gfgh gf,ddcfg fghhh jhggf ghggg eghgf hgfgf Ecddd gedfE ddhhg fghgf,ddcfgf ghhhjh ggfghg ggeghg fhgfgf Ecdddg edfEdd hhgfgh gf,ddcfgfg hhhjhgg fghggge ghgfhgf gfEcddd gedfEdd hhgfghg f,ddcfgfgh hhjhggfg hgggeghg fhgfgfEc dddgedfE ddhhgfgh gf,ddcfgfghh hjhggfghg ggeghgfhg fgfEcdddg edfEddhhg fghgf,ddcfgfghhh jhggfghggg eghgfhgfgf EcdddgedfE ddhhgfghgf,ddcfgfghhhj hggfghgggeg hgfhgfgfEcd ddgedfEddhh gfghgf,ddcfgfghhhjh ggfghgggeghg fhgfgfEcdddg edfEddhhgfgh gf,ddcfgfghhhjhg gfghgggeghgfh gfgfEcdddgedf Eddhhgfghgf,ddcfgfghhhjhgg fghgggeghgfhgf gfEcdddgedfEdd hhgfghgf,ddcfgfghhhjhggf ghgggeghgfhgfgf EcdddgedfEddhhg fghgf,ddcfgfghhhjhggfg hgggeghgfhgfgfEc dddgedfEddhhgfgh gf,dd cfgf ghh hjh ggf ghgg gegh gfh gf gfEc dddg edfEd dhh gfg h gf,ddc fgfgh hhj hggf ghgg geghg f hgfgfEc dd dgedf Eddhhg fghgf,ddcfgfghh hjhggfghggg eghgfhgfgf Ecd ddgedfE ddhhgfg hgf
chant_012963,fffe ggh ffedc ff ffe gh hhggf hhfghgf hhhhj,f f f e g g h f fe d c f f f f e g h h hg g f h h f gh g f h h h h j,f f f e g g h f fe d c f f f f e g h h hg g f h h f gh g f h h h h j,f f f e g g h f f e d c f f f f e g h h h g g f h h f g h g f h h h h j,ff fe gg hf fe dc ff ff eg hh hg gf hh fg hg fh hh hj,fff egg hff edc fff feg hhh ggf hhf ghg fhh hhj,fffe gghf fedc ffff eghh hggf hhfg hgfh hhhj,fffeg ghffe dcfff feghh hggfh hfghg fhhhh j,fffegg hffedc ffffeg hhhggf hhfghg fhhhhj,fffeggh ffedcff ffeghhh ggfhhfg hgfhhhh j,fffegghf fedcffff eghhhggf hhfghgfh hhhj,fffegghff edcffffeg hhhggfhhf ghgfhhhhj,fffegghffe dcffffeghh hggfhhfghg fhhhhj,fffegghffed cffffeghhhg gfhhfghgfhh hhj,fffegghffedc ffffeghhhggf hhfghgfhhhhj,fffegghffedcf fffeghhhggfhh fghgfhhhhj,fffegghffedcff ffeghhhggfhhfg hgfhhhhj,fffegghffedcfff feghhhggfhhfghg fhhhhj,fffegghffedcffff eghhhggfhhfghgfh hhhj,fff e ggh f fe dcfff feg hhh ggfhh fghgf hh hhj,fffe ggh ffedcf fffeg hhhg gfhhf ghgf hhhhj,fffegghffe dcffff eghh hggfhhf ghgfhhhhj
chant_016407,dhh kjhF ghh hgfEd cdfgcdd hg hkl ghhh hK lklmlkl l kljhghj hgfgcddd a cdd fedeccdd hklh gfghh hgfedcd dd adcbacdfedcdd hhhgfghgh,dh h kj hF gh h h g fE d cdfg cd d h g h kl gh h h hK l klm lk l l k l j h g hj hgfg cd d d a cd d fede c cd d h kl h g f gh h h gfed cd d d adcba cdfedc d d h h hg f gh gh,dh h kj hF gh h h g fE d cdfg cd d h g h kl gh h h hK l klm lk l l k l j h g hj hgfg cd d d a cd d fede c cd d h kl h g f gh h h gfed cd d d adcba cdfedc d d h h hg f gh gh,d h h k j h F g h h h g f E d c d f g c d d h g h k l g h h h h K l k l m l k l l k l j h g h j h g f g c d d d a c d d f e d e c c d d h k l h g f g h h h g f e d c d d d a d c b a c d f e d c d d h h h g f g h g h,dh hk jh Fg hh hg fE dc df gc dd hg hk lg hh hh Kl kl ml kl lk lj hg hj hg fg cd dd ac dd fe de cc dd hk lh gf gh hh gf ed cd dd ad cb ac df ed cd dh hh gf gh gh,dhh kjh Fgh hhg fEd cdf gcd dhg hkl ghh hhK lkl mlk llk ljh ghj hgf gcd dda cdd fed ecc ddh klh gfg hhh gfe dcd dda dcb acd fed cdd hhh gfg hgh,dhhk jhFg hhhg fEdc dfgc ddhg hklg hhhh Klkl mlkl lklj hghj hgfg cddd acdd fede ccdd hklh gfgh hhgf edcd ddad cbac dfed cddh hhgf ghgh,dhhkj hFghh hgfEd cdfgc ddhgh klghh hhKlk lmlkl lkljh ghjhg fgcdd dacdd fedec cddhk lhgfg hhhgf edcdd dadcb acdfe dcddh hhgfg hgh,dhhkjh Fghhhg fEdcdf gcddhg hklghh hhKlkl mlkllk ljhghj hgfgcd ddacdd fedecc ddhklh gfghhh gfedcd ddadcb acdfed cddhhh gfghgh,dhhkjhF ghhhgfE dcdfgcd dhghklg hhhhKlk lmlkllk ljhghjh gfgcddd acddfed eccddhk lhgfghh hgfedcd ddadcba cdfedcd dhhhgfg hgh,dhhkjhFg hhhgfEdc dfgcddhg hklghhhh Klklmlkl lkljhghj hgfgcddd acddfede ccddhklh gfghhhgf edcdddad cbacdfed cddhhhgf ghgh,dhhkjhFgh hhgfEdcdf gcddhghkl ghhhhKlkl mlkllkljh ghjhgfgcd ddacddfed eccddhklh gfghhhgfe dcdddadcb acdfedcdd hhhgfghgh,dhhkjhFghh hgfEdcdfgc ddhghklghh hhKlklmlkl lkljhghjhg fgcdddacdd fedeccddhk lhgfghhhgf edcdddadcb acdfedcddh hhgfghgh,dhhkjhFghhh gfEdcdfgcdd hghklghhhhK lklmlkllklj hghjhgfgcdd dacddfedecc ddhklhgfghh hgfedcdddad cbacdfedcdd hhhgfghgh,dhhkjhFghhhg fEdcdfgcddhg hklghhhhKlkl mlkllkljhghj hgfgcdddacdd fedeccddhklh gfghhhgfedcd ddadcbacdfed cddhhhgfghgh,dhhkjhFghhhgf Edcdfgcddhghk lghhhhKlklmlk llkljhghjhgfg cdddacddfedec cddhklhgfghhh gfedcdddadcba cdfedcddhhhgf ghgh,dhhkjhFghhhgfE dcdfgcddhghklg hhhhKlklmlkllk ljhghjhgfgcddd acddfedeccddhk lhgfghhhgfedcd ddadcbacdfedcd dhhhgfghgh,dhhkjhFghhhgfEd cdfgcddhghklghh hhKlklmlkllkljh ghjhgfgcdddacdd fedeccddhklhgfg hhhgfedcdddadcb acdfedcddhhhgfg hgh,dhhkjhFghhhgfEdc dfgcddhghklghhhh Klklmlkllkljhghj hgfgcdddacddfede ccddhklhgfghhhgf edcdddadcbacdfed cddhhhgfghgh,dhh kjh Fgh hhgfE dc dfgc ddh ghk lgh hh h Klklm lkllk lj hghj hgfg cd dda cdd fe de ccdd hkl hg fghh hg fedcddd adcba cdfe dcdd hh hgfghg h,dhhkjhFg hhh gfEd cdfgc ddhg hklgh hhhK lklm lkllkljhg hjhg fgcddd acddf edec cddhkl hgfghh hgf edcdddad cba cd fedcd dhhh gfghg h,dhhkjh FghhhgfEdcd fgcd dhghklg hhhhKlkl mlkllkljh ghjhg fgcddd acdd fedecc ddhklhgfg hhhgfe dcdddadcb acdfedc ddhhhgfg hgh
chant_018028,gged eg gghhgg fj j h j k hgg jk lk kjhhh g ghfffedefd dd gh jhj gghgg jklkjhg hhk hge fgffedefd ghjkjh jhj ggh khkgg,g g ed e g g ghhg g fj j h j k h g g jk l k kj hh h g gh f ffede fd dd g h j hj g ghg g jklkjhg h hk hg e fg ffede fd ghjkjh j hj g gh k hk g g,g g ed e g g gh hg g fj j h j k h g g jk l k kj hh h g gh f ffede fd dd g h j hj g ghg g jklkjhg h hk hg e fg ffede fd ghjkjh j hj g gh k hk g g,g g e d e g g g h h g g f j j h j k h g g j k l k k j h h h g g h f f f e d e f d d d g h j h j g g h g g j k l k j h g h h k h g e f g f f e d e f d g h j k j h j h j g g h k h k g g,gg ed eg gg hh gg fj jh jk hg gj kl kk jh hh gg hf ff ed ef dd dg hj hj gg hg gj kl kj hg hh kh ge fg ff ed ef dg hj kj hj hj gg hk hk gg,gge deg ggh hgg fjj hjk hgg jkl kkj hhh ggh fff ede fdd dgh jhj ggh ggj klk jhg hhk hge fgf fed efd ghj kjh jhj ggh khk gg,gged eggg hhgg fjjh jkhg gjkl kkjh hhgg hfff edef dddg hjhj gghg gjkl kjhg hhkh gefg ffed efdg hjkj hjhj gghk hkgg,ggede ggghh ggfjj hjkhg gjklk kjhhh gghff fedef dddgh jhjgg hggjk lkjhg hhkhg efgff edefd ghjkj hjhjg ghkhk gg,ggedeg gghhgg fjjhjk hggjkl kkjhhh gghfff edefdd dghjhj gghggj klkjhg hhkhge fgffed efdghj kjhjhj gghkhk gg,ggedegg ghhggfj jhjkhgg jklkkjh hhgghff fedefdd dghjhjg ghggjkl kjhghhk hgefgff edefdgh jkjhjhj gghkhkg g,ggedeggg hhggfjjh jkhggjkl kkjhhhgg hfffedef dddghjhj gghggjkl kjhghhkh gefgffed efdghjkj hjhjgghk hkgg,ggedegggh hggfjjhjk hggjklkkj hhhgghfff edefdddgh jhjgghggj klkjhghhk hgefgffed efdghjkjh jhjgghkhk gg,ggedeggghh ggfjjhjkhg gjklkkjhhh gghfffedef dddghjhjgg hggjklkjhg hhkhgefgff edefdghjkj hjhjgghkhk gg,ggedeggghhg gfjjhjkhggj klkkjhhhggh fffedefdddg hjhjgghggjk lkjhghhkhge fgffedefdgh jkjhjhjgghk hkgg,ggedeggghhgg fjjhjkhggjkl kkjhhhgghfff edefdddghjhj gghggjklkjhg hhkhgefgffed efdghjkjhjhj gghkhkgg,ggedeggghhggf jjhjkhggjklkk jhhhgghfffede fdddghjhjgghg gjklkjhghhkhg efgffedefdghj kjhjhjgghkhkg g,ggedeggghhggfj jhjkhggjklkkjh hhgghfffedefdd dghjhjgghggjkl kjhghhkhgefgff edefdghjkjhjhj gghkhkgg,ggedeggghhggfjj hjkhggjklkkjhhh gghfffedefdddgh jhjgghggjklkjhg hhkhgefgffedefd ghjkjhjhjgghkhk gg,ggedeggghhggfjjh jkhggjklkkjhhhgg hfffedefdddghjhj gghggjklkjhghhkh gefgffedefdghjkj hjhjgghkhkgg,gged eg g ghhgg f jj hj kh ggj kl kk jh hhgg hf ff edefddd gh jhjg ghgg jk lkjhg h hkhg ef gf fedef d gh jkj hjh jgg hkhk gg,gge deggghh ggfjj hjkhggj klkkjh hhgg hff fede fdddg hj hjgghgg jklkj hg hhk hgefg ffe de fdghj kj hjhj gghkh kgg,ggedeg gghhg gfjjhjkhgg jklkkjh hhgghf ffede fdddghjhj gghggjklk jh ghhkh gefgffedefdg hjkjh jhjg ghkhkgg
chant_021289,cDddcFd fghi hgHg efedd defgg ghgfdc ffedc ccddd ccd ddC hhgfggfed,cD ddc F d f g h i h g H g e fe d d d ef g g gh gf dc f f ed c c cd d d c cd ddC h h g f g gfed,cD d dc F d f g h i h g H g e fe d d d ef g g gh gf dc f f ed c c cd d d c cd d dC h h g f g gfed,c D d d c F d f g h i h g H g e f e d d d e f g g g h g f d c f f e d c c c d d d c c d d d C h h g f g g f e d,cD dd cF df gh ih gH ge fe dd de fg gg hg fd cf fe dc cc dd dc cd dd Ch hg fg gf ed,cDd dcF dfg hih gHg efe ddd efg ggh gfd cff edc ccd ddc cdd dCh hgf ggf ed,cDdd cFdf ghih gHge fedd defg gghg fdcf fedc ccdd dccd ddCh hgfg gfed,cDddc Fdfgh ihgHg efedd defgg ghgfd cffed cccdd dccdd dChhg fggfe d,cDddcF dfghih gHgefe dddefg gghgfd cffedc ccdddc cdddCh hgfggf ed,cDddcFd fghihgH gefeddd efggghg fdcffed cccdddc cdddChh gfggfed,cDddcFdf ghihgHge fedddefg gghgfdcf fedcccdd dccdddCh hgfggfed,cDddcFdfg hihgHgefe dddefgggh gfdcffedc ccdddccdd dChhgfggf ed,cDddcFdfgh ihgHgefedd defggghgfd cffedcccdd dccdddChhg fggfed,cDddcFdfghi hgHgefeddde fggghgfdcff edcccdddccd ddChhgfggfe d,cDddcFdfghih gHgefedddefg gghgfdcffedc ccdddccdddCh hgfggfed,cDddcFdfghihg Hgefedddefggg hgfdcffedcccd ddccdddChhgfg gfed,cDddcFdfghihgH gefedddefggghg fdcffedcccdddc cdddChhgfggfed,cDddcFdfghihgHg efedddefggghgfd cffedcccdddccdd dChhgfggfed,cDddcFdfghihgHge fedddefggghgfdcf fedcccdddccdddCh hgfggfed,cDd dcF dfgh ihgH g efed dd efg g ghgfd cf fed c ccd dd ccdd dC hh gfg gfed,cDdd cFdfghih gH gef eddde fggg hgfd cffed cccdd dccdd dChhgfg gfed,cDddcFdfgh ihgHgefeddd efggghg fdcffe dcccddd ccdddChhg fggfed
